date,location,meal,category,name
2021-04-16,chase,Dinner (5pm-8:30pm),Pizza,Strawberry Balsamic Goat Cheese Pizza
2021-04-16,chase,Lunch (11am-3pm),The Kitchen Table,Jamaican Spiced Beef
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Bacon Bits
2021-04-16,chase,Breakfast (7am-11am),Create,The Heeler Blueberry Smoothie
2021-04-16,chase,Breakfast (7am-11am),Create,Vanilla Greek Yogurt
2021-04-16,chase,Dinner (5pm-8:30pm),The Griddle,Bibb Lettuce
2021-04-16,chase,Dinner (5pm-8:30pm),International Flavors,Roasted Red Pepper
2021-04-16,chase,Lunch (11am-3pm),Create,100% Apple Juice
2021-04-16,chase,Lunch (11am-3pm),Simply Prepared Grill,Pulled Pork
2021-04-16,chase,Dinner (5pm-8:30pm),The Kitchen Table,Jalapeno Corn Nuggets
2021-04-16,chase,Lunch (11am-3pm),Create,Frozen Mango
2021-04-16,chase,Dinner (5pm-8:30pm),Soup and Salads,Italian Wedding Soup with Meatballs
2021-04-16,chase,Dinner (5pm-8:30pm),International Flavors,Mushrooms
2021-04-16,chase,Breakfast (7am-11am),The Kitchen Table,Whole Wheat French Toast
2021-04-16,chase,Breakfast (7am-11am),Bakery,Orange Muffin
2021-04-16,chase,Breakfast (7am-11am),Bakery,Blueberry Muffin
2021-04-16,chase,Lunch (11am-3pm),Soup and Salads,Black Bean Jicama & Mango
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Diced Ham
2021-04-16,chase,Lunch (11am-3pm),Bakery,Ice Cream Cone
2021-04-16,chase,Lunch (11am-3pm),Fresh,Sante Fe Chicken Panini
2021-04-16,chase,Dinner (5pm-8:30pm),The Griddle,Grilled Cheese on Sourdough
2021-04-16,chase,Dinner (5pm-8:30pm),Simply Prepared Grill,Herbed Baked Tilapia
2021-04-16,chase,Lunch (11am-3pm),Create,Baby Spinach
2021-04-16,chase,Lunch (11am-3pm),Bakery,Assorted Ice Cream
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Artichoke Hearts
2021-04-16,chase,Breakfast (7am-11am),The Kitchen Table,Tofu Florentine
2021-04-16,chase,Dinner (5pm-8:30pm),International Flavors,Creamy Penne with Chicken
2021-04-16,chase,Dinner (5pm-8:30pm),Vegan Plant Forward,"Chili Roasted Mango, Plantains, and Pineapples"
2021-04-16,chase,Breakfast (7am-11am),Bakery,Goat Cheese and Pear Biscuit
2021-04-16,chase,Lunch (11am-3pm),Plant Forward,Sauteed Mushrooms
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Cilantro Marinated Chicken
2021-04-16,chase,Breakfast (7am-11am),Specialty Bakery,Overnight Apples N Oats
2021-04-16,chase,Lunch (11am-3pm),Create,Pineapple Smoothie
2021-04-16,chase,Lunch (11am-3pm),Pizza,Cheese Bread
2021-04-16,chase,Dinner (5pm-8:30pm),Nacho Bar,Corn Tortilla Chips
2021-04-16,chase,Lunch (11am-3pm),Create,Frozen Strawberries
2021-04-16,chase,Lunch (11am-3pm),Bakery,Rice Krispie Treats
2021-04-16,chase,Breakfast (7am-11am),Create,Blueberries
2021-04-16,chase,Dinner (5pm-8:30pm),Pizza,Vegan Cheese Pizza
2021-04-16,chase,Dinner (5pm-8:30pm),Simply Prepared Grill,Roasted Cauliflower
2021-04-16,chase,Dinner (5pm-8:30pm),Plant Forward,"Sauteed Mushroom, Peppers, and Onions"
2021-04-16,chase,Dinner (5pm-8:30pm),The Kitchen Table,Creole BBQ Chicken
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Kalamata Olives
2021-04-16,chase,Lunch (11am-3pm),Specialty Bakery,Vegan Pecan Cookie Ball
2021-04-16,chase,Dinner (5pm-8:30pm),The Griddle,Sliced Dill Pickles
2021-04-16,chase,Dinner (5pm-8:30pm),Chef's Corner,Gemelli Pasta
2021-04-16,chase,Lunch (11am-3pm),The Griddle,Hamburger Patty
2021-04-16,chase,Lunch (11am-3pm),Create,Wake Me Up Smoothie
2021-04-16,chase,Lunch (11am-3pm),Soup and Salads,Cucumber Tomato Salad
2021-04-16,chase,Lunch (11am-3pm),Create,Sliced Bananas
2021-04-16,chase,Lunch (11am-3pm),Pasta,Manicotti with Pesto Cream
2021-04-16,chase,Lunch (11am-3pm),The Griddle,Garden Burger Patty
