category,name
Burritos & Bowls,Brown Rice
Wood Fired Pizza,Chipotle Chicken Ranch Pizza
International Flavors,Shrimp Fried Rice
International Flavors,Sausage & Kale Penne
International Flavors,Spinach
Specialty Bakery,Raspberry Chocolate Chip Muffins
The Kitchen Table,Snow Peas
Plant Forward,Spicy Black Bean Cake
The Kitchen Table,Sour Cream
Rotisserie,Roasted Brussels Sprouts
Rotisserie,Basmati Rice
Create,Spicy Cucumber Roll
Plant Forward,Basil Roasted Grape Tomatoes
The Kitchen Table,Jasmine Rice
Rotisserie,Beef Broth Ramen
Specialty Bakery,White Chocolate Cinnamon Scones
The Kitchen Table,Pan Roasted Asparagus
Specialty Bakery,Granola Bar
Soup and Salads,Vegetable Beef Soup
Plant Forward,Sweet Potato Fries
Burritos & Bowls,Seasoned Ground Turkey
Simply Prepared Grill,BBQ Pork Chop
The Kitchen Table,Red Beans & Rice
Pizza,Black Olives
Rotisserie,Old Bay Chips
Specialty Bakery,Cinnamon Swirl Butterscotch Quickbread
International Flavors,Baked Penne (Made Without Gluten)
The Kitchen Table,Cajun Cod
International Flavors,Green Peas
Specialty Bakery,Blueberry Muffin
Plant Forward,Grilled Zucchini
Specialty Bakery,Carrot Cake Bites with Walnuts
Specialty Bakery,Assorted Donuts
Homemade Soups,New England Clam Chowder
International Flavors,Jalapeno Peppers
Bakery,Coconut Cake
Simply Prepared Grill,Brown Rice
Vegan Plant Forward,Basmati Rice and Lentils
Pizza,Individual Cheese Pizza
Specialty Bakery,Strawberry Cupcake
Bakery,Coffee Cake
Specialty Bakery,Biscuits
Specialty Bakery,Apple Turnover
The Kitchen Table,Cheddar Mashed Potatoes
Pizza,Whipped Ricotta Kale Pizza
Rotisserie,Bok Choy with Garlic
Specialty Bakery,Sunburst Lemon Bars
Plant Forward,Tofu-Potato Hash
Specialty Bakery,Fudge Brownie
Rotisserie,Confetti Rice
Specialty Bakery,Madeleines
Rotisserie,Fried Tater Tots
Rotisserie,Balsamic and Roasted Garlic Glazed Brussels Sprouts
Rotisserie,Pulled Chicken BBQ
Pasta,Blackened Chicken Penne served in Gouda Cream Sauce
Burritos & Bowls,Guacamole Spread
The Kitchen Table,Corn Nuggets
Bakery,Rice Krispie Treats
Homemade Soups,Buffalo Chicken Chili
The Kitchen Table,Colossal Swedish Meatballs
Rotisserie,Roasted Mushrooms
Wood Fired Pizza,Classic Pepperoni Pizza
Specialty Bakery,Cinnamon Churro
Simply Prepared Grill,Roasted Sweet Potato
Specialty Bakery,Triple Citrus Cake
Bakery,Ice Cream Cone
Plant Forward,Bistro Tofu
Rotisserie,Spicy Greens
Bakery,Almond Croissant
Simply Prepared Grill,Chimichurri Chicken
Simply Prepared Grill,Carne Asada
Vegan Plant Forward,Steamed Broccoli
The Kitchen Table,Roasted Potato Wedges
Homemade Soups,Italian Wedding Soup
The Griddle,Crispy Chicken Nuggets
Bakery,Cinnamon Rolls
Burritos & Bowls,Poke Dressing
Soup and Salads,Brussel Sprout and Kale Salad
International Flavors,Creamy Shrimp Penne
The Kitchen Table,Scratchmade Blueberry Pancake
Soup and Salads,Pineapple Coleslaw
Bakery,Cinnamon Roll
The Grill,Assorted Veggie Toppings
Plant Forward,Sweet and Sour Soy Nuggets
Specialty Bakery,Vanilla Pudding Cake
Simply Prepared Grill,Grilled Italian Sausage and Peppers
Nacho Bar,Cilantro Lime Chicken
Pasta,Sausage Cavatappi
Specialty Bakery,Peanut Butter Chocolate Chip Cookies
Specialty Bakery,Lemon Cheesecake Bar
The Grill,"Sausage, Egg, and Cheese Biscuit"
Specialty Bakery,Lemon Blueberry Loaf Cake
Specialty Bakery,Chocolate Peanut Butter Cake
Burritos & Bowls,Popcorn Shrimp
The Griddle,Pimento Cheese and Tomato Sandwich
Plant Forward,Tofu Bahn Mi
Rotisserie,Homestyle Gravy
Specialty Bakery,Lemon Yogurt Bread
Rotisserie,Red Curry Chicken over Rice
The Grill,Grass-Fed Hamburger
Simply Prepared Grill,Cajun Pinto Beans
Rotisserie,Steamed Edamame
Simply Prepared Grill,Roasted Yukon Potatoes
Rotisserie,Spanish Rice
Burritos & Bowls,Green Onions
The Grill,Crispy Chicken Nuggets
Plant Forward,Sweet Thai Cauliflower
Specialty Bakery,Banana Peach Cups
Simply Prepared Grill,Peppers and Artichoke Saute
Specialty Bakery,Blueberry Overnight Oats
Plant Forward,Southern Grain Bowl
The Kitchen Table,Pancakes
Specialty Bakery,Goat Cheese and Pear Biscuit
Pizza,Vegan Cheese Pizza
The Kitchen Table,BBQ Roasted Turkey Breast
Plant Forward,Vegan Aioli
The Kitchen Table,Marinated Flank Steak
Wood Fired Pizza,Ham and Pineapple Pizza
International Flavors,Sauteed Shrimp
Pizza,Chipotle Shrimp and Guac Pizza
The Kitchen Table,Kale and Butternut Salad
The Kitchen Table,Yellow Rice
Vegan Plant Forward,Sauteed Shrimp
Plant Forward,Vegan Fajita
Specialty Bakery,Strawberry Shortcake Parfaits
The Griddle,Flour Tortilla
Bakery,Cruffins
Chef's Corner,Artichoke Hearts
Soup and Salads,White Chicken Chili
Burritos & Bowls,Seasoned Taco Beef
Specialty Bakery,Mango Smoothie
Soup and Salads,Broccoli & Cheddar Soup
Rotisserie,Pulled Pork BBQ
Rotisserie,Roasted Orange Chicken
Specialty Bakery,Peach Cobbler
Plant Forward,Sliced Red Onion
International Flavors,Sauteed Yellow Onions
Chef's Corner,Alfredo Sauce
Specialty Bakery,Red Velvet Whoopie Pie
Specialty Bakery,Banana Blueberry Muffin
The Griddle,Sweet Potato Fries
Simply Prepared Grill,Tex Mex Grilled Pork Chop
Specialty Bakery,Butterscotch Pecan Scones
The Kitchen Table,Oven Roasted Carrots
The Kitchen Table,Collard Greens
Wood Fired Pizza,Bruschetta Garlic Pizza
Specialty Bakery,Banana Pecan Bread Pudding
Rotisserie,Sliced Grilled Baguette
Bakery,Apricot Quick Bread
Rotisserie,Cider Dijon Flank Steak
The Kitchen Table,Battered Cod
The Kitchen Table,Steamed Corn
Bakery,Dulce de Leche Turnover
The Grill,Southwest Crispy Baked Chicken Sandwich
Pasta Bar,Bolognese Sauce
The Kitchen Table,Roasted Cherry Tomatoes
Simply Prepared Grill,Braised Greens
International Flavors,Shrimp Kadai Jhinga Masala Rice Bowl
The Griddle,Tomatoes
Plant Forward,Sauteed Shrimp
Specialty Bakery,NY Cheesecake
Rotisserie,Green Beans
Rotisserie,Wild Rice
Soup and Salads,Hungarian Mushroom Soup
Pasta,Penne Meatballs
Vegan Plant Forward,Steamed Baby Carrots
Specialty Bakery,Banana Nut Muffin
The Griddle,Sweet Yellow Onion
Simply Prepared Grill,Roasted Apples
Plant Forward,Strawberries
The Griddle,Sliced Dill Pickles
Simply Prepared Grill,Red Beans
Rotisserie,Herbed Tomato Ratatouille
Specialty Bakery,Strawberry Overnight Chia Oats
Specialty Bakery,Cherry Almond Muffin
Specialty Bakery,Croissant
The Griddle,Waffle Fries
The Kitchen Table,Roasted Fresh Asparagus
International Flavors,Sausage and Kale Penne
International Flavors,Creamy Cajun Havarti Shrimp & Broccoli Pasta
Plant Forward,Stuffed Baked Eggplant
Chef's Corner,Tomato Bacon Ragout
Simply Prepared Grill,Papas con Ejotes
Nacho Bar,Jalapeno Peppers
Nacho Bar,Cajun Pinto Beans
Specialty Bakery,Apple Crisp
Plant Forward,Spanish Style Brown Rice
International Flavors,Taos Chicken
The Griddle,Crispy Chicken Breast
The Grill,Harissa Chicken Quesadilla
Soup and Salads,Roasted Garlic Asparagus Soup
Simply Prepared Grill,Herbed Balsamic Flank Steak
Nacho Bar,Black Olives
The Kitchen Table,Steamed Fresh Cauliflower
Chef's Corner,Diced Yellow Onions
The Griddle,Diced Turkey
The Kitchen Table,Mac & Cheese
International Flavors,Shrimp Pad Thai
Homemade Soups,Split Pea Soup
Rotisserie,Toppings Station
Rotisserie,Seasoned Cauliflower
Chef's Corner,Diced Ham
Pasta,Chicken Artichoke & Spinach Pasta Bake
The Kitchen Table,Popcorn Shrimp
Rotisserie,Cauliflower Rice
Specialty Bakery,Passion Fruit Panna Cotta
Specialty Bakery,Valentine's Jello Cup
Specialty Bakery,Orange Poppy Loaf
International Flavors,Lo Mein Noodles
Burritos & Bowls,Creamy Queso Dip
Pasta,Chicken Penne with Fire Roasted Tomatoes
Burritos & Bowls,Seasoned Black Beans
Homemade Soups,Double Chicken Noodle Soup
The Griddle,Bananas Foster French Toast
Rotisserie,Oven Roasted Green Beans
Plant Forward,Steamed Baby Carrots
Specialty Bakery,Cornflake Cookies
The Kitchen Table,Southern Succotash
Specialty Bakery,Chocolate Chip Cake
Pizza,"Bacon, and Pickle Pizza"
International Flavors,Beef Macaroni and Cheese
The Kitchen Table,Old-Fashioned Coleslaw
Simply Prepared Grill,Steamed Baby Carrots
The Kitchen Table,Green Onions
Simply Prepared Grill,Southwest Chicken
Specialty Bakery,Assorted Danishes
Plant Forward,Olive Oil Penne
Specialty Bakery,Flourless Monster Peanut Bar
Plant Forward,Wasabi Ginger Mashed Potato
Bakery,Lemon Loaf
International Flavors,Roasted Veggie Ziti
The Kitchen Table,Dublin Smashed Potato
The Kitchen Table,Sauteed Spinach
Pasta,Cauliflower Sun-dried Tomato Alfredo
Rotisserie,Chili Garlic BBQ Beef
Chef's Corner,Sauteed Shrimp
Specialty Bakery,Creamsicle Parfait
