category,name
The Griddle,Loaded Chili Cheese Dog
Soup and Salads,Ancho Vegetable Beef Soup
Bakery,Breakfast Nut Bread
The Griddle,Crispy Chicken Nuggets
Nacho Bar,Swedish Meatballs
The Kitchen Table,Peas
Plant Forward,Everything Avocado Toast
Bakery,Blueberry Cream Cheese Turnover
Simply Prepared Grill,Collard Greens
Vegan Plant Forward,Middle Eastern Falafel
Create,Crunchy Shrimp Roll
Soup and Salads,Southwest Kale Salad
Nacho Bar,Mini Reuben
The Kitchen Table,Fresh Berries Cup
International Flavors,Pork Belly Ramen Bowl
Vegan Plant Forward,Garlic Breadstick
Specialty Bakery,Frosted Donuts with Sprinkles
The Kitchen Table,Whipped Cream Topping
Create,Spicy Avocado Roll
Simply Prepared Grill,Seasoned Baked Chicken Wings
Vegan Plant Forward,Spaghetti with Vegan Meatballs
Simply Prepared Grill,Red Hot Sauce
Create,Spicy Tuna Roll
Pizza,Bacon and Egg Pizza
The Kitchen Table,White Pepper Gravy
Specialty Bakery,Sunburst Lemon Bars
Nacho Bar,Chicken Satay with Basil Chutney
Specialty Bakery,Coconut Pineapple Shark Cups
Vegan Plant Forward,"Sauteed Mushroom, Peppers, and Onions"
Bakery,Butternut Squash Bread
Specialty Bakery,Dessert Kabob
Soup and Salads,Creamy Tomato
Specialty Bakery,Coconut Milk Peach Tartlets
Pasta,Chicken Artichoke & Spinach Pasta Bake
Simply Prepared Grill,Cilantro Lime Cauliflower Rice
The Griddle,Waffle Fries
Soup and Salads,Creamy Macaroni Salad
Simply Prepared Grill,Honey BBQ Sauce
The Kitchen Table,Chocolate Chip Pancakes
Nacho Bar,Chicken Quesadilla Cornucopia
Specialty Bakery,Pineapple Upside Down Cake
The Kitchen Table,Country Fried Steak
Pizza,Goat Cheese and Spinach Pizza
The Kitchen Table,Herbed Grilled Pork Chop
Soup and Salads,Buffalo Chicken Salad
Simply Prepared Grill,Sweet Thai Chili Sauce
Simply Prepared Grill,Carrots and Celery Sticks
Nacho Bar,Mini Reuben
Vegan Plant Forward,Spaghetti with Vegan Meatballs
The Kitchen Table,Whipped Cream Topping
The Kitchen Table,Chocolate Chip Pancakes
Specialty Bakery,Coconut Milk Peach Tartlets
The Griddle,Loaded Chili Cheese Dog
Create,Spicy Avocado Roll
Specialty Bakery,Dessert Kabob
International Flavors,Pork Belly Ramen Bowl
Create,Spicy Tuna Roll
Pizza,Bacon and Egg Pizza
Simply Prepared Grill,Carrots and Celery Sticks
Nacho Bar,Swedish Meatballs
Vegan Plant Forward,Garlic Breadstick
Specialty Bakery,Frosted Donuts with Sprinkles
Create,Crunchy Shrimp Roll
Nacho Bar,Chicken Satay with Basil Chutney
The Kitchen Table,Country Fried Steak
Plant Forward,Everything Avocado Toast
The Griddle,Waffle Fries
Simply Prepared Grill,Cilantro Lime Cauliflower Rice
The Kitchen Table,Fresh Berries Cup
Nacho Bar,Chicken Quesadilla Cornucopia
Specialty Bakery,Coconut Pineapple Shark Cups
Specialty Bakery,Coconut Milk Peach Tartlets
Pizza,Bacon and Egg Pizza
Vegan Plant Forward,Garlic Breadstick
The Kitchen Table,Country Fried Steak
Create,Spicy Avocado Roll
Nacho Bar,Chicken Quesadilla Cornucopia
Create,Crunchy Shrimp Roll
Nacho Bar,Mini Reuben
Specialty Bakery,Dessert Kabob
Nacho Bar,Swedish Meatballs
Simply Prepared Grill,Carrots and Celery Sticks
The Kitchen Table,Fresh Berries Cup
International Flavors,Pork Belly Ramen Bowl
The Griddle,Waffle Fries
Vegan Plant Forward,Spaghetti with Vegan Meatballs
The Kitchen Table,Chocolate Chip Pancakes
The Kitchen Table,Whipped Cream Topping
Plant Forward,Everything Avocado Toast
The Griddle,Loaded Chili Cheese Dog
Simply Prepared Grill,Cilantro Lime Cauliflower Rice
