date,location,meal,category,name
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Gravy
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Brownie
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Guacamole Spread
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Vegan Cinnamon Raisin Muffin
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Salsa
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Blueberry Buttermilk Pancakes
2022-03-06,top-of-lenoir,Continental  (10am-11am),Specialty Bakery,Cranberry Orange Muffin
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Bacon
2022-03-06,top-of-lenoir,Continental  (10am-11am),Specialty Bakery,Croissant
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Grill,Grass-Fed Hamburger
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,O'Doughs Original Bagel
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Cranberry Orange Muffin
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Assorted Donuts
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Croissant
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Fudge Brownie
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,JP's Brownie
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Goat Cheese and Spinach Pizza
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Steamed Edamame
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Rice Pasta
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Chocolate Chip Scones
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,O'doughs Everything Bagel
