date,location,meal,category,name
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Lettuce
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Popcorn Shrimp
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Guacamole Spread
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Peppers and Onions Sautee
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Turkey Meatloaf
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Creamy Queso Dip
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cheddar Cheese
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cilantro Lime Rice
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Brown Rice
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sour Cream
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pico Salsa
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Peppers
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Hot Tortilla Chips
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Ancho BBQ Sauce
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Cajun Rotisserie Chicken
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Taco Beef
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Black Beans
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Salsa
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Creamy Queso Dip
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Monterey Jack Cheese
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Zesty Salsa Verde
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,White Tortilla
