date,location,meal,category,name
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Chocolate Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Birthday Cream Sandwich Cookie
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Birthday Cream Sandwich Cookie
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Mint Magic Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Mint Magic Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Chocolate Sandwich Creme Cookies
2022-03-05,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Vanilla Glazed Donuts
2022-03-05,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Kinnikinnick Vanilla Glazed Donuts
